#Note 1: The lat. lon. and depth are corresponding to the centroid location of each subfault
#Note 2: Asymetric cosine functions are used to approximate the slip rate functions (Ji, et al., 2003JGR)
#Total number of fault_segments=     1
#Fault_segment=   1 nx(Along-strike)=  15 Dx= 20.00 km ny(downdip)=  14 Dy= 16.00 km
#+++Boundary of Fault_segment+++     1
#Lon.    Lat.    Depth
       95.2389         1.9363        3.4075
       93.4541         3.7181        3.4075
       94.7510	       5.0127        46.6531
       96.5357 	       3.2310        46.6531
       95.2389         1.9363        3.4075
#Lat. 	     Lon.      depth 	 slip     rake 	    strike	dip 
    4.7859   94.7787  43.3266    6.1552   85.3358   315.00000	12.00000
    4.9131   94.6512  43.3266    4.9616   73.4268   315.00000	12.00000
    3.2310   96.5357  46.6531    2.0440  119.8788   315.00000	12.00000
    3.3582   96.4082  46.6531    1.3814  119.2257   315.00000	12.00000
    3.4855   96.2807  46.6531    1.6642  116.0124   315.00000	12.00000
    3.6128   96.1532  46.6531    1.9772  119.9187   315.00000	12.00000
    3.7400   96.0258  46.6531    1.9615  119.8729   315.00000	12.00000
    3.8673   95.8983  46.6531    1.9957   81.3637   315.00000	12.00000
    3.9946   95.7708  46.6531    1.9863   78.2140   315.00000	12.00000
    4.1219   95.6433  46.6531    1.9920   62.5708   315.00000	12.00000
    4.2491   95.5158  46.6531    1.9982  113.5331   315.00000	12.00000
    4.3764   95.3884  46.6531    1.9893   92.1592   315.00000	12.00000
    4.5037   95.2609  46.6531    1.9782   64.4290   315.00000	12.00000
    4.6309   95.1334  46.6531    1.9751   68.6531   315.00000	12.00000
    4.7582   95.0059  46.6531    1.9915  108.6729   315.00000	12.00000
    4.8855   94.8784  46.6531    1.9631   98.8003   315.00000	12.00000
    5.0127   94.7510  46.6531    1.9091   94.6674   315.00000	12.00000
